0.02148	0.05620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.01389	0.04059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.02366	0.07611	0.08608	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.01128	0.04027	0.09209	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.01830	0.09158	0.11509	0.12527	NaN	NaN	NaN	NaN	NaN	NaN	0.00608	0.04230	0.06814	0.17617	NaN	NaN	NaN	NaN	NaN	NaN
0.01829	0.06335	0.13298	0.09032	NaN	NaN	NaN	NaN	NaN	NaN	0.00577	0.02235	0.07673	0.08651	NaN	NaN	NaN	NaN	NaN	NaN
0.01668	0.05248	0.11150	0.12322	0.10131	NaN	NaN	NaN	NaN	NaN	0.00521	0.02024	0.05650	0.06833	0.09216	NaN	NaN	NaN	NaN	NaN
0.01595	0.04963	0.10705	0.11951	0.10383	0.15289	NaN	NaN	NaN	NaN	0.00478	0.01929	0.05339	0.06824	0.08291	0.13342	NaN	NaN	NaN	NaN
0.01578	0.04910	0.10671	0.11960	0.10999	0.15766	NaN	NaN	NaN	NaN	0.00478	0.01926	0.05302	0.06762	0.08264	0.13210	NaN	NaN	NaN	NaN
0.01575	0.04910	0.10292	0.11544	0.11367	0.16175	NaN	NaN	NaN	NaN	0.00477	0.01926	0.05163	0.06520	0.08142	0.13166	NaN	NaN	NaN	NaN
0.01574	0.04910	0.10292	0.11544	0.10699	0.14827	NaN	NaN	NaN	NaN	0.00477	0.01926	0.05163	0.06520	0.07739	0.12238	NaN	NaN	NaN	NaN
0.01574	0.04910	0.10292	0.11544	0.10699	0.14827	NaN	NaN	NaN	NaN	0.00477	0.01926	0.05163	0.06520	0.07739	0.12238	NaN	NaN	NaN	NaN
