0.02700	0.11976	0.20144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.00987	0.08744	0.21304	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.02152	0.13361	0.12497	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.00722	0.08541	0.08703	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.02299	0.12968	0.16521	0.06923	NaN	NaN	NaN	NaN	NaN	NaN	0.00716	0.06916	0.10745	0.07558	NaN	NaN	NaN	NaN	NaN	NaN
0.02159	0.08063	0.11601	0.05351	0.09817	NaN	NaN	NaN	NaN	NaN	0.00663	0.03864	0.07174	0.04883	0.08788	NaN	NaN	NaN	NaN	NaN
0.02004	0.07074	0.13139	0.09170	0.10826	0.07738	NaN	NaN	NaN	NaN	0.00609	0.02929	0.06045	0.06336	0.11284	0.10751	NaN	NaN	NaN	NaN
0.01891	0.06657	0.13154	0.10802	0.14425	0.10712	0.05844	NaN	NaN	NaN	0.00555	0.02275	0.05803	0.06069	0.10495	0.10795	0.10251	NaN	NaN	NaN
0.01816	0.05811	0.12630	0.15121	0.14280	0.09734	0.08121	0.06061	0.09091	NaN	0.00536	0.01938	0.05562	0.08195	0.09747	0.08937	0.09312	0.10350	0.20255	NaN
0.01818	0.05803	0.12607	0.15182	0.14413	0.09899	0.08768	0.06515	0.09091	NaN	0.00536	0.01938	0.05563	0.08192	0.09745	0.08937	0.09295	0.10267	0.20255	NaN
0.01818	0.05803	0.12607	0.15182	0.14413	0.09899	0.08768	0.06515	0.09091	NaN	0.00536	0.01938	0.05563	0.08192	0.09745	0.08937	0.09295	0.10267	0.20255	NaN
0.01818	0.05803	0.12607	0.15182	0.14413	0.09899	0.08768	0.06515	0.09091	NaN	0.00536	0.01938	0.05563	0.08192	0.09745	0.08937	0.09295	0.10267	0.20255	NaN
