0.01874	0.03413	0.21469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.01410	0.02791	0.18767	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0.01817	0.03903	0.10001	0.18095	NaN	NaN	NaN	NaN	NaN	NaN	0.01330	0.02847	0.06386	0.14766	NaN	NaN	NaN	NaN	NaN	NaN
0.03351	0.03018	0.06769	0.15226	0.12273	NaN	NaN	NaN	NaN	NaN	0.03009	0.02423	0.04245	0.12672	0.19992	NaN	NaN	NaN	NaN	NaN
0.02991	0.03046	0.05131	0.12220	0.13444	NaN	NaN	NaN	NaN	NaN	0.02786	0.01818	0.03161	0.10269	0.19933	NaN	NaN	NaN	NaN	NaN
0.02806	0.03804	0.07825	0.10665	0.14609	0.10745	NaN	NaN	NaN	NaN	0.02618	0.01542	0.03879	0.07130	0.12416	0.16949	NaN	NaN	NaN	NaN
0.02687	0.04871	0.08274	0.07845	0.10536	0.13321	0.08070	0.05385	NaN	NaN	0.02576	0.01930	0.03131	0.03977	0.07824	0.12273	0.08250	0.08763	NaN	NaN
0.02720	0.04425	0.07862	0.07211	0.09412	0.11635	0.07019	0.08070	0.01923	NaN	0.02543	0.01400	0.02985	0.03262	0.05229	0.09513	0.06651	0.08250	0.04190	NaN
0.02720	0.04418	0.07611	0.07544	0.10908	0.12883	0.10173	0.12174	0.05452	0.04819	0.02543	0.01382	0.02957	0.03140	0.05096	0.08555	0.08358	0.10221	0.06380	0.06873
0.02712	0.04362	0.07353	0.06739	0.09767	0.12991	0.10306	0.12393	0.05541	0.04536	0.02543	0.01383	0.02943	0.02777	0.04740	0.08538	0.08338	0.10182	0.06012	0.06451
0.02712	0.04362	0.07353	0.06739	0.09767	0.12991	0.10306	0.12393	0.05541	0.04536	0.02543	0.01383	0.02943	0.02777	0.04740	0.08538	0.08338	0.10182	0.06012	0.06451
